Date;Open;High;Low;Close;Adj Close;Volume;rt;(rt-rtbar)^2;;;;;;
19/05/2017;67.500.000;68.099.998;67.430.000;67.690.002;66.393.806;26961100;;;;;;;rt bar;0.001406983
22/05/2017;67.889.999;68.500.000;67.500.000;68.449.997;67.139.236;16237600;0.01116502;9.52193E-05;;;;;sum;0.04823614
23/05/2017;68.720.001;68.750.000;68.379.997;68.680.000;67.364.853;15425800;0.003354528;3.79293E-06;;;;;n;251
24/05/2017;68.870.003;68.879.997;68.449.997;68.769.997;67.453.110;14593900;0.001309524;9.49829E-09;;;;;sigma;0.013862751
25/05/2017;68.970.001;69.879.997;68.910.004;69.620.003;68.286.850;21854100;0.012284366;0.000118317;;;;;;
26/05/2017;69.800.003;70.220.001;69.519.997;69.959.999;68.620.331;19827900;0.00487171;1.20043E-05;;;;;tau;252
30/05/2017;69.790.001;70.410.004;69.769.997;70.410.004;69.061.729;17072800;0.006411719;2.50474E-05;;;;;vola;0.220064345
31/05/2017;70.529.999;70.739.998;69.809.998;69.839.996;68.502.632;30436400;-0.008128501;9.09255E-05;;;;;;
01/06/2017;70.239.998;70.610.001;69.449.997;70.099.998;68.757.652;21603600;0.003715911;5.33115E-06;;;;;;
02/06/2017;70.440.002;71.860.001;70.239.998;71.760.002;70.385.864;34770300;0.02340448;0.00048389;;;;;;
05/06/2017;71.970.001;72.889.999;71.809.998;72.279.999;70.895.905;33316800;0.007220206;3.37936E-05;;;;;;
06/06/2017;72.300.003;72.620.003;72.269.997;72.519.997;71.131.302;31511100;0.003314893;3.64012E-06;;;;;;
07/06/2017;72.639.999;72.769.997;71.949.997;72.389.999;71.003.807;22301800;-0.00179419;1.02475E-05;;;;;;
08/06/2017;72.510.002;72.519.997;71.500.000;71.949.997;70.572.220;24456300;-0.006096763;5.63062E-05;;;;;;
09/06/2017;72.040.001;72.080.002;68.589.996;70.320.000;68.973.434;49187400;-0.022915138;0.000591566;;;;;;
12/06/2017;69.250.000;69.940.002;68.129.997;69.779.999;68.443.779;47761700;-0.007708832;8.30981E-05;;;;;;
13/06/2017;70.019.997;70.820.000;69.959.999;70.650.002;69.297.127;25258600;0.012390716;0.000120642;;;;;;
14/06/2017;70.910.004;71.099.998;69.430.000;70.269.997;68.924.393;25510700;-0.005393215;4.62427E-05;;;;;;
15/06/2017;69.269.997;70.209.999;68.800.003;69.900.002;68.561.485;26068700;-0.005279245;4.47056E-05;;;;;;
16/06/2017;69.730.003;70.029.999;69.220.001;70.000.000;68.659.569;48345100;0.001429564;5.09916E-10;;;;;;
19/06/2017;70.500.000;70.940.002;70.349.998;70.870.003;69.512.909;23798300;0.012352013;0.000119794;;;;;;
20/06/2017;70.820.000;70.870.003;69.870.003;69.910.004;68.571.289;21512200;-0.013638497;0.000226366;;;;;;
21/06/2017;70.209.999;70.620.003;69.940.002;70.269.997;68.924.393;19891100;0.005136165;1.39068E-05;;;;;;
22/06/2017;70.540.001;70.589.996;69.709.999;70.260.002;68.914.589;22965700;-0.000142247;2.40011E-06;;;;;;
23/06/2017;70.089.996;71.250.000;69.919.998;71.209.999;69.846.397;27617300;0.013430569;0.000144567;;;;;;
26/06/2017;71.400.002;71.709.999;70.440.002;70.529.999;69.179.420;19607000;-0.009595107;0.000121046;;;;;;
27/06/2017;70.110.001;70.180.000;69.180.000;69.209.999;67.884.689;25215100;-0.018892791;0.000412081;;;;;;
28/06/2017;69.209.999;69.839.996;68.790.001;69.800.003;68.463.402;25806200;0.008488706;5.01508E-05;;;;;;
29/06/2017;69.379.997;69.489.998;68.089.996;68.489.998;67.178.482;28918700;-0.018946333;0.000414257;;;;;;
30/06/2017;68.779.999;69.379.997;68.739.998;68.930.000;67.610.054;24161100;0.006403777;2.4968E-05;;;;;;
03/07/2017;69.330.002;69.599.998;68.019.997;68.169.998;66.864.609;16165500;-0.011086941;0.000156098;;;;;;
05/07/2017;68.260.002;69.440.002;68.220.001;69.080.002;67.757.187;21176300;0.013260726;0.000140511;;;;;;
06/07/2017;68.269.997;68.779.999;68.120.003;68.570.000;67.256.950;21117600;-0.007410161;7.7742E-05;;;;;;
07/07/2017;68.699.997;69.839.996;68.699.997;69.459.999;68.129.906;16878300;0.012895912;0.000131995;;;;;;
10/07/2017;69.459.999;70.250.000;69.199.997;69.980.003;68.639.961;15014500;0.007458497;3.66208E-05;;;;;;
11/07/2017;70.000.000;70.680.000;69.750.000;69.989.998;68.649.765;17460000;0.000142816;1.59812E-06;;;;;;
12/07/2017;70.690.002;71.279.999;70.550.003;71.150.002;69.787.552;17750900;0.016438007;0.000225932;;;;;;
13/07/2017;71.500.000;72.040.001;71.309.998;71.769.997;70.395.660;20269800;0.008676167;5.2841E-05;;;;;;
14/07/2017;72.239.998;73.269.997;71.959.999;72.779.999;71.386.330;25868100;0.013974659;0.000157946;;;;;;
17/07/2017;72.800.003;73.449.997;72.720.001;73.349.998;71.945.412;21803900;0.007801299;4.08873E-05;;;;;;
18/07/2017;73.089.996;73.389.999;72.660.004;73.300.003;71.896.385;26435300;-0.000681828;4.36313E-06;;;;;;
19/07/2017;73.500.000;74.040.001;73.449.997;73.860.001;72.445.648;22416200;0.007610773;3.8487E-05;;;;;;
20/07/2017;74.180.000;74.300.003;73.279.999;74.220.001;72.798.759;42361000;0.004862246;1.19388E-05;;;;;;
21/07/2017;73.449.997;74.290.001;73.169.998;73.790.001;72.376.991;46717100;-0.005810434;5.20911E-05;;;;;;
24/07/2017;73.529.999;73.750.000;73.129.997;73.599.998;72.190.636;21394800;-0.002578236;1.5882E-05;;;;;;
25/07/2017;73.800.003;74.309.998;73.500.000;74.190.002;72.769.333;22018700;0.007984399;4.32624E-05;;;;;;
26/07/2017;74.339.996;74.379.997;73.809.998;74.050.003;72.632.011;16252200;-0.001888816;1.08623E-05;;;;;;
27/07/2017;73.760.002;74.419.998;72.320.000;73.160.004;71.759.064;36844200;-0.012091703;0.000182215;;;;;;
